,from,to,pval,fdr,value
289,AT3G51910,AT3G50970,0.000999000999000999,0.00440960313571779,2
290,AT1G29860,AT5G44910,0.012987012987013,0.0173410404624277,2
291,AT3G23230,AT5G44910,0.028971028971029,0.0324344476202311,2
292,mean_AT5G03740-AT1G56170,AT5G44910,0.023976023976024,0.0273279352226721,2
293,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT5G44910,0.043956043956044,0.048122493620124,2
294,AT4G32280,AT5G24090,0.010989010989011,0.0155733836715432,2
295,AT1G62300,AT5G24090,0.004995004995005,0.011094674556213,2
296,AT2G33710,AT5G24090,0.00699300699300699,0.0128887070376432,2
297,AT1G07050,AT1G16370,0.003996003996004,0.0103329506314581,2
298,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT1G16370,0.010989010989011,0.0155733836715432,2
299,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G30755,0.001998001998002,0.00728744939271255,2
300,AT2G33710,AT1G30755,0.002997002997003,0.00906953308700034,2
301,mean_AT5G03740-AT1G56170,AT1G30730,0.003996003996004,0.0103329506314581,2
302,AT1G62300,AT1G30730,0.00999000999000999,0.0150175204405139,2
303,AT2G33710,AT1G30730,0.00799200799200799,0.0138808559861191,2
304,mean_AT5G03740-AT1G56170,AT4G13235,0.000999000999000999,0.00440960313571779,2
305,AT5G43290,AT5G46050,0.000999000999000999,0.00440960313571779,2
306,mean_AT5G03740-AT1G56170,AT5G46050,0.000999000999000999,0.00440960313571779,2
307,mean_AT5G03740-AT1G56170,AT1G02360,0.036963036963037,0.0408538829591461,2
308,AT3G23230,AT1G02360,0.022977022977023,0.0265384615384615,2
309,AT2G40740,AT1G02360,0.042957042957043,0.0471778617578935,2
310,AT2G33710,AT1G02360,0.040959040959041,0.0451265745383392,2
311,AT1G29860,AT1G02360,0.013986013986014,0.0180826636050517,2
312,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G02360,0.033966033966034,0.0377218934911243,2
313,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT1G48700,0.000999000999000999,0.00440960313571779,2
314,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT2G14580,0.00799200799200799,0.0138808559861191,2
315,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,AT2G14580,0.002997002997003,0.00906953308700034,2
316,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT4G18253,0.004995004995005,0.011094674556213,2
317,AT3G23230,AT4G18253,0.00599400599400599,0.0121457489878542,2
318,AT1G62300,AT4G18430,0.00699300699300699,0.0128887070376432,2
319,AT1G29860,AT4G18430,0.011988011988012,0.0163859808830223,2
320,AT2G33710,AT4G18430,0.014985014985015,0.0189155107187894,2
321,AT2G21710,AT1G76470,0.010989010989011,0.0155733836715432,2
322,AT1G62300,AT1G65500,0.011988011988012,0.0163859808830223,2
323,AT3G23230,AT1G65500,0.00999000999000999,0.0150175204405139,2
324,AT2G40740,AT1G65500,0.01998001998002,0.0235879963307561,2
325,AT2G33710,AT1G65500,0.00799200799200799,0.0138808559861191,2
326,AT2G40740,AT4G23190,0.010989010989011,0.0155733836715432,2
327,AT1G62300,AT4G23190,0.00899100899100899,0.0142907551164432,2
328,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT4G23190,0.00599400599400599,0.0121457489878542,2
329,mean_AT5G03740-AT1G56170,AT1G35230,0.00699300699300699,0.0128887070376432,2
330,AT1G62300,AT1G35230,0.004995004995005,0.011094674556213,2
331,AT1G29860,AT1G35230,0.00899100899100899,0.0142907551164432,2
332,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G35230,0.014985014985015,0.0189155107187894,2
333,AT5G44210,AT1G54020,0.002997002997003,0.00906953308700034,2
334,AT2G40740,AT5G57010,0.004995004995005,0.011094674556213,2
335,AT1G62300,AT5G57010,0.004995004995005,0.011094674556213,2
336,mean_AT5G03740-AT1G56170,AT5G65600,0.002997002997003,0.00906953308700034,2
337,AT1G62300,AT5G65600,0.003996003996004,0.0103329506314581,2
338,AT5G59570,AT4G23700,0.000999000999000999,0.00440960313571779,2
339,AT2G28500,AT1G77330,0.000999000999000999,0.00440960313571779,2
340,AT2G21710,AT3G28580,0.000999000999000999,0.00440960313571779,2
341,mean_AT5G03740-AT1G56170,AT1G26380,0.00999000999000999,0.0150175204405139,2
342,AT3G23230,AT1G26380,0.021978021978022,0.0256410256410256,2
343,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G26380,0.014985014985015,0.0189155107187894,2
344,AT2G33710,AT1G26380,0.018981018981019,0.0226790450928382,2
345,mean_AT1G78930-AT5G44260-AT4G25470-AT1G57560,AT4G13410,0.002997002997003,0.00906953308700034,2
346,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT4G13410,0.002997002997003,0.00906953308700034,2
347,AT1G62300,AT5G62150,0.000999000999000999,0.00440960313571779,2
348,mean_AT5G03740-AT1G56170,AT3G57240,0.022977022977023,0.0265384615384615,2
349,AT1G62300,AT3G57240,0.022977022977023,0.0265384615384615,2
350,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT3G57240,0.014985014985015,0.0189155107187894,2
351,AT1G29860,AT3G57240,0.028971028971029,0.0324344476202311,2
352,mean_AT5G03740-AT1G56170,AT5G38250,0.00899100899100899,0.0142907551164432,2
353,AT2G33710,AT5G38250,0.023976023976024,0.0273279352226721,2
354,AT2G40740,AT5G38250,0.00999000999000999,0.0150175204405139,2
355,AT1G62300,AT5G38250,0.00699300699300699,0.0128887070376432,2
356,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT3G15356,0.003996003996004,0.0103329506314581,2
357,mean_AT5G03740-AT1G56170,AT3G15356,0.004995004995005,0.011094674556213,2
358,AT2G33710,AT3G15356,0.013986013986014,0.0180826636050517,2
359,AT1G62300,AT5G40990,0.002997002997003,0.00906953308700034,2
360,AT5G43290,AT5G40990,0.004995004995005,0.011094674556213,2
361,AT1G29860,AT2G44480,0.002997002997003,0.00906953308700034,2
362,AT1G62300,AT2G44480,0.000999000999000999,0.00440960313571779,2
363,mean_AT5G03740-AT1G56170,AT5G25930,0.000999000999000999,0.00440960313571779,2
364,AT2G33710,AT3G14225,0.000999000999000999,0.00440960313571779,2
365,AT1G71030,AT4G16590,0.00899100899100899,0.0142907551164432,2
366,AT5G49330,AT4G16590,0.010989010989011,0.0155733836715432,2
367,mean_AT5G03740-AT1G56170,AT4G23280,0.035964035964036,0.0398132219218481,2
368,AT1G29860,AT4G23280,0.025974025974026,0.0293159609120521,2
369,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT4G23280,0.026973026973027,0.0303446553446553,2
370,AT1G62300,AT4G23280,0.018981018981019,0.0226790450928382,2
371,AT1G62300,mean_AT5G03740-AT1G56170,0.003996003996004,0.0103329506314581,2
372,AT1G29860,mean_AT5G03740-AT1G56170,0.00699300699300699,0.0128887070376432,2
373,AT2G33710,AT3G26500,0.015984015984016,0.0198156047887712,2
374,AT1G62300,AT3G26500,0.00699300699300699,0.0128887070376432,2
375,AT1G29860,AT3G26500,0.00799200799200799,0.0138808559861191,2
