label;logFC;logCPM;FDR;Regulation;Gene_ID
AT5G03560;2.14308877211304;-19.8335951454647;2.32764496645298e-51;Up;AT5G03560.2
AT5G25560;1.53430089320518;-17.0612997285536;4.30312545373506e-51;Up;AT5G25560.3
AT4G21880;2.04645151618376;-20.419370812178;1.30805671929701e-50;Up;AT4G21880.1
CUTA;1.60195307378247;-18.6414961289343;3.77198672253709e-50;Up;AT2G33740.2
EBF2;1.51654344143812;-17.1979696142159;3.46015071192537e-49;Up;AT5G25350.1
RAP;1.66710643220334;-18.5813080542347;4.10240417680599e-49;Up;AT2G31890.1
AT1G71530;2.62041541559834;-19.9941684370949;4.34941061715468e-49;Up;AT1G71530.1
AT5G25280;2.35582404602931;-15.9128865348033;6.40349545584544e-49;Up;AT5G25280.1
NA;4.59079121656857;-22.616184588374;1.351817981746e-48;Up;AT3G48835.1
ATCDC48B;2.92799412445521;-17.7583138288838;2.85638035123155e-48;Up;AT3G53230.1
ATS3B;1.868910978032;-18.7303685410459;4.29701330412853e-48;Up;AT5G62200.1
FES1A;2.08803055859311;-18.7054041713635;9.58650051698243e-48;Up;AT3G09350.1
RPL3B;1.67379182290765;-18.6470919890939;1.56503198701868e-47;Up;AT1G61580.1
PRDA1;2.11323301909892;-19.0872099217193;1.70976149276032e-47;Up;AT5G48470.1
AT1G72645;2.17429355580965;-18.0223853267548;2.27279888935916e-47;Up;AT1G72645.1
RECEPTOR-LIKE PROTEIN KINASE;-4.22420735534445;-21.0546144558227;3.01138341070334e-47;Down;AT4G23280.1
PCL1;2.92216698866863;-20.1519430789525;3.81475530867389e-47;Up;AT3G46640.3
HIPL2;-1.82727203531367;-18.9119042954601;3.99361623689764e-47;Down;AT5G62630.1
KEA1;-1.72051857367563;-16.9069089051294;6.0275951712705e-47;Down;AT1G01790.1
HSP70;1.64589245181944;-15.5621055571911;1.08320443273811e-46;Up;AT4G16660.2
AT2G21640;2.8264136541604;-19.8216305599609;1.43934050827649e-46;Up;AT2G21640.1
RVE8;-1.56323043512599;-20.2146142292186;1.7382469270049e-46;Down;AT3G09600.1
H3.1;-2.00225894502968;-19.6513054388848;3.63939153666235e-46;Down;AT5G10400.1
TAG1;2.05642571810462;-19.3441260123461;6.28958390686384e-45;Up;AT2G19450.1
MEF8S;2.97051474403727;-19.3021204992957;6.32830927120044e-45;Up;AT4G32450.1
MTHSC70-2;2.1674678488464;-16.2374709673164;6.55062758623908e-45;Up;AT5G09590.1
UMP1B;10.5839219155467;-21.0947882192109;8.48255729932295e-45;Up;AT5G38650.1
ENO1;-1.87276445822925;-20.3809909659347;1.31627288515249e-44;Down;AT1G74030.1
AT5G03830;1.86518217488819;-19.5490294027187;2.92772860761257e-44;Up;AT5G03830.1
AT2G31150;1.69468177672114;-18.8474050883698;3.47621635577956e-44;Up;AT2G31150.1
ATHSP22.0;9.21199140196408;-16.3611806449686;4.36718554483418e-44;Up;AT4G10250.1
AT5G19250;-1.94136671732291;-16.8001965557719;6.55441089736934e-44;Down;AT5G19250.1
