,from,to,weight,value
161,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,AT5G06043,0.101813032447391,0.101813032447391
162,AT1G29860,AT3G26210,0.10180474601263,0.10180474601263
163,AT5G49330,AT5G66640,0.101803647100335,0.101803647100335
164,mean_AT5G03740-AT1G56170,AT2G40740,0.101755667497481,0.101755667497481
165,AT2G40740,AT2G39200,0.1017252299895,0.1017252299895
166,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G26410,0.101644609247446,0.101644609247446
167,AT5G44210,AT1G54020,0.101633800904275,0.101633800904275
168,mean_AT5G03740-AT1G56170,AT1G35230,0.101532203688314,0.101532203688314
169,mean_AT4G00150-AT1G74930,AT3G44260,0.101529966187869,0.101529966187869
170,AT1G62300,AT2G37980,0.101464297283903,0.101464297283903
171,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G74770,0.101447297296323,0.101447297296323
172,AT2G33710,AT1G36622,0.101419401144132,0.101419401144132
173,mean_AT5G03740-AT1G56170,AT1G49000,0.101178026776514,0.101178026776514
174,AT4G32280,AT4G34770,0.101160876878336,0.101160876878336
175,AT5G59570,AT5G03350,0.101002860216048,0.101002860216048
176,mean_AT5G03740-AT1G56170,AT1G02920,0.100953691889299,0.100953691889299
177,AT4G32280,AT5G18050,0.100941755264423,0.100941755264423
178,mean_AT4G00150-AT1G74930,AT1G49700,0.100939521441005,0.100939521441005
179,AT2G40740,AT5G38250,0.100862185124088,0.100862185124088
180,AT4G36930,AT3G45130,0.100806012059931,0.100806012059931
181,AT5G43290,AT5G46050,0.100799923692512,0.100799923692512
182,AT4G32280,AT5G44990,0.100733180159157,0.100733180159157
183,mean_AT5G03740-AT1G56170,AT5G38900,0.100648444080715,0.100648444080715
184,AT1G62300,AT3G48850,0.100645983366812,0.100645983366812
185,AT1G62300,mean_AT5G03740-AT1G56170,0.100622010807999,0.100622010807999
186,AT1G29860,AT2G29720,0.100481180240509,0.100481180240509
187,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT3G20395,0.100397702444516,0.100397702444516
188,AT2G33710,AT4G07820,0.100396328305767,0.100396328305767
189,AT1G62300,AT2G44480,0.100358973445535,0.100358973445535
190,mean_AT1G01060-AT3G09600-AT5G24110-AT3G12910-AT5G56960-AT1G20693-AT2G37430,AT4G31000,0.100354458462039,0.100354458462039
191,AT1G29860,AT5G07760,0.10029412824464,0.10029412824464
192,mean_AT5G03740-AT1G56170,AT2G38860,0.100283518091226,0.100283518091226
193,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G78860,0.100277121302391,0.100277121302391
194,AT1G29860,AT3G26500,0.100247307434819,0.100247307434819
195,AT1G62300,AT5G62150,0.100241726423862,0.100241726423862
196,mean_AT5G03740-AT1G56170,AT1G61360,0.100219540254351,0.100219540254351
197,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G01390,0.100200343495749,0.100200343495749
198,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT1G78530,0.100120907672558,0.100120907672558
199,AT2G40740,AT2G18680,0.100110605504656,0.100110605504656
200,mean_AT5G03740-AT1G56170,AT3G15518,0.10005073726271,0.10005073726271
201,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT1G04800,0.100044062288673,0.100044062288673
202,AT2G33710,AT1G69920,0.10001660575673,0.10001660575673
203,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT1G26380,0.0999622597233248,0.0999622597233248
204,AT2G40740,AT2G18690,0.0999574166175251,0.0999574166175251
205,AT1G07050,AT5G23370,0.0998676031161738,0.0998676031161738
206,AT3G23230,AT5G12420,0.0998403528223017,0.0998403528223017
207,mean_AT5G03740-AT1G56170,AT5G25930,0.0997796729551221,0.0997796729551221
208,AT5G59570,AT4G25000,0.0997689629348807,0.0997689629348807
209,AT3G23230,AT1G78860,0.099764122696902,0.099764122696902
210,AT1G62300,AT5G38900,0.0997224158623082,0.0997224158623082
211,mean_AT1G78930-AT5G44260-AT4G25470-AT1G57560,AT1G01390,0.0997221885001488,0.0997221885001488
212,AT1G62300,AT4G20000,0.0997121780831735,0.0997121780831735
213,mean_AT5G03740-AT1G56170,AT2G30750,0.0997098673162567,0.0997098673162567
214,AT1G62300,AT4G18430,0.0997048693200002,0.0997048693200002
215,AT2G40740,AT3G09520,0.0996994088280042,0.0996994088280042
216,AT1G62300,AT4G15236,0.0996361709997235,0.0996361709997235
217,AT1G14580,AT4G02850,0.0996139124702385,0.0996139124702385
218,AT5G43290,AT1G67800,0.0995969789548458,0.0995969789548458
219,AT2G33710,AT2G39210,0.0995962248132759,0.0995962248132759
220,AT3G23230,AT1G21120,0.0995737275569799,0.0995737275569799
221,mean_AT1G17460-AT5G57150-AT5G60100-AT5G48250-AT3G62090-AT1G09530-AT5G63160-AT1G76590-AT3G11020-AT1G11100-AT1G67370-AT3G14740,AT3G57540,0.0995726702654607,0.0995726702654607
222,AT1G62300,AT2G39210,0.0994982908997793,0.0994982908997793
223,mean_AT5G61380-AT5G39610-AT4G17500-AT1G75390-AT3G15500,AT2G47240,0.0994613865283045,0.0994613865283045
224,mean_AT2G26150-AT3G24500-AT4G11660-AT4G34530-AT3G46640-AT3G23150-AT1G73830-AT5G05410-AT1G22190-AT1G49130-AT1G72650,ATCG00340,0.0993759809000531,0.0993759809000531
225,AT2G21710,AT3G49620,0.0993249772084992,0.0993249772084992
226,AT1G71030,AT4G16590,0.0993087593559163,0.0993087593559163
227,AT3G51910,AT3G20395,0.0992412265230193,0.0992412265230193
228,AT1G29860,AT5G38250,0.0992347495324702,0.0992347495324702
229,AT2G40740,AT4G18253,0.0992290110416774,0.0992290110416774
230,mean_AT5G03740-AT1G56170,AT3G24503,0.0991979918112197,0.0991979918112197
231,AT2G40740,AT2G28630,0.0991509762035731,0.0991509762035731
232,AT2G40740,AT1G05675,0.0991412307867641,0.0991412307867641
233,AT1G29860,AT2G39210,0.099060354430212,0.099060354430212
234,AT2G40740,AT4G17470,0.0990396013612652,0.0990396013612652
235,mean_AT5G03740-AT1G56170,AT1G62300,0.098963231775965,0.098963231775965
236,AT1G29860,AT4G21120,0.0989417047500004,0.0989417047500004
237,AT5G43290,AT5G22300,0.0989270326098497,0.0989270326098497
238,AT5G59570,AT3G22235,0.098885360126817,0.098885360126817
239,AT3G23230,AT5G57220,0.0987928894412692,0.0987928894412692
